,text,target,true_label,pred_label
0,虽然但是，我真的不同情她,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
1,不阻止是我的态度,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
2,你想打人就打人，网民想怎样你也管不着呀,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
3,那怎么办，她爸爸得到制裁了吗，如果没有，我们也只能网暴她，我们又没有执法权,恶意殴打他人者的妻女被网暴,POSITIVE,AGAINST
4,政审怎么说我就怎么做,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
5,祸不及子女的前提是福不及子女，他女儿没有享受过他任何脏钱和保护，那么的确不该受牵连……,恶意殴打他人者的妻女被网暴,POSITIVE,AGAINST
6,真踏马活该,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
7,中国的社会环境从古至今都是这样，要改变还需要一段时间。都是成年人，在他拿起板凳的时候就该想到这些。自己的孩子自己不心疼，就不要指望别人心疼了。说起无辜，被打的人也无辜。只能说孩子出生在这样的家庭就是倒霉的开始，没有烧烤事件还有其他事件拖累她一辈子。,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
8,不要这样，小姑娘很可能也是被她爸爸从小殴打长大的,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
9,确实无辜，这四个女孩不无辜吗,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
10,尽管孩子无辜，但是别人家的孩子又何尝不无辜呢，不提高犯罪的成本，罪犯只会更肆无忌惮,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
11,大家的三观都是，他的女儿被网暴是应该的吗？？？？,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
12,理论上讲，确实不该网暴人家女儿。 但这只是理论，这种人的女儿肯定会被牵连的。因为哪怕是我这种比较理智的人，我的孩子如果和打人者的孩子一个学校，我一定会叮嘱孩子不要和她过多接触，甚至远离！ 父母的品行不端，孩子很难三观正。,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
13,她爸的错，跟她没关系，谁叫她有这样的爸,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
14,马上转学,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
15,我想说，网友们这么施暴，和那九个暴徒又有什么区别呢？,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
16,…让他女儿和他断绝关系,恶意殴打他人者的妻女被网暴,AGAINST,NEITHER
17,虽说网暴他女儿可能就是说祸不及家人，，但是正常人绝对得远离 远离 远离他们一家子，咱都是老百姓，没那个普渡众生的能力！自己能活好都不容易了,恶意殴打他人者的妻女被网暴,NEITHER,AGAINST
18,他女儿生长在这样的家庭环境，有这样的父亲，耳濡目染，能是善类吗？,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
19,没办法，现实,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
20,她该埋怨的是他爸呀～这不就是告诫那些犯罪的份子做事之前先想想自己的父母孩子,恶意殴打他人者的妻女被网暴,NEITHER,AGAINST
21,在这样的环境下长大…,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
22,原来他也有女儿…,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
23,官方的公信力何在，尽快通报四名女孩的情况吧，依法处理犯罪人员，请不要在伤及到其他无辜人员。,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
24,虽然小孩是无辜的  但是请问各位  如果你们自己的孩子他这种人的孩子在一个班 一个学校你们愿意吗,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
25,我觉得他爸没出事前，他女儿会借着他爸的势力在学校霸凌其他人,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
26,这不是校园暴力，这是交友自由选择权,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
27,相反我希望那4个女孩经历的都在她女儿身上经历一次呢,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
28,警方不要纵容,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
29,隔着屏幕都吓到我了在现场应该会很窒息吧,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
30,玩不起,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
31,熊孩子之所以能成为熊孩子通常是因为他们的家长是熊家长～～该家长扭曲的价值观该被社会教育,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
32,光辉形象留着吧!,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
33,怎么就没有人觉得那个女生太矫情了吗？小男孩又没扒门缝，至于把小孩子凶哭么，在外都互相体谅一下,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
34,我只想问如果就一个人带6岁的孩子。不上女厕所上哪，被抱走怎么办,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
35,为什么要去骂一个孩子呢，哎，有些时候父母带孩子去女厕确实是迫不得已,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
36,互相体谅？那小男孩在独立的卫生间你去说人家做什么,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
37,人家妈妈说的对着，虽然小孩不对，你也应该先找监护人说。直接吼小孩，没有意义,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
38,不能片面看到这个事。当妈的心情能理解，可以解释。,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
39,还好我们这商场啥的都有儿童卫生间。,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
40,6岁男孩怎么不知道自己该去那个厕所呢,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
41,有孩子的我都不敢看评论……幸好我儿子能自己上厕所了,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
42,不打码确实不合适,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
43,我就想知道怎么处理的,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
44,说实话，6岁小孩跟妈妈上厕所很正常，才幼儿园。,女子不让6岁男童上女厕所遭痛骂,POSITIVE,AGAINST
45,帮忙转发提高她的知名度,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
46,应该有儿童特殊人群的那种洗手间才对,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
47,说实话我没有搞懂谁是谁！,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
48,处理后续？,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
49,不能下架,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
50,估计要被指指点点,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
51,一家三口女性上男厕所,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
52,家长带孩子进男厕女厕这个 其实咋不好弄 没条件的 干脆都别分男女了 反正现在都是小隔间 隔板封死一些 设置报警器 这样也能解决一部分女厕排队不够用的问题 ,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
53,我觉得永旺的卫生间很贴心，这一点不得不承认日本做的很好。除了男女卫生间，外面有可以自理的儿童卫生间，里面还有父母可陪同的更小的幼儿卫生间，外面还有一个多功能卫生间方便残障人士。自动马桶盖配备纸巾消毒液之类的就更不用说了，真的很舒心。,女子不让6岁男童上女厕所遭痛骂,NEITHER,POSITIVE
54,怎么玩不起啊 我说实话你就拉黑什么成分,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
55,男童妈知错后，公开向女子道歉了。,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
56,抖音这个人要不要看看你在说什么啊,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
57,不让6岁男童进女厕当事人收到家长道歉：就此结束，回归生活正轨,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
58,你们那边没有这个东西吗,女子不让6岁男童上女厕所遭痛骂,NEITHER,AGAINST
59,【兼听则明】一位山东律师同行的观点：如果当时被害，一百多天尸体会腐烂成啥程度，有点常识的人都知道，估计只剩骨头了；如果现在才被害，这一百多天谁养着这个孩子或者说谁在拘禁这个孩子，目的是什么？现在为什么又要杀害这个孩子？既然一百多天都没有找到，杀害了偷偷处理掉不好，非得伪造成上吊？这跟投案自首有什么区别？真以为侦查机关连自杀和他杀都分不清楚？自杀是肯定的。只是这么长时间这个孩子干了些什么？……,警方通告胡鑫宇为自杀,POSITIVE,NEITHER
60,把自杀的案件说成他杀，找出一个“杀人犯”来，然后将这个臆造出来的“故意杀人犯”枪毙，这种事情我们不是没有过，河南23岁青年魏清安、内蒙古青年呼格吉勒图、河北青年聂树斌就是这样被冤杀的。我想这不是网友想要的结果。,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
61,看脚，脚掌下垂的就是自杀，脚掌跟小腿成90度的就是死后才吊上去的！,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
62,别在这疑神疑鬼的，就是恰好在监控死角出去了而已，完全就是自己寻短见，浪费公众资源,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
63,上吊的人，脚尖冲地，死后吊起来的人，脚尖是平的,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
64,其实主要是排除勒杀，因为如果有其他伤痕、或者现场有搏斗痕迹，或者死者手指等部位有搏斗痕迹甚至残存其他人的DNA信息，基本可以推定他杀。主要是被勒死和自杀上吊比较难区分，但在尸检层面也不难区分。（1）被勒杀的伤痕凹沟通常在脖子上呈现水平方向，因为攻击者通常是从两端横向勒紧绳索等索状物导致窒息死亡。（2）上吊自杀的伤痕凹沟则斜过颈部，痕迹与颈部存在较大的夹角，较高那端在靠近绳结方向。（3）需要注意的是，上吊自杀者颈部背面可能也存在擦伤、抓伤，这往往是自杀者自己应急反应造成的，这种伤痕不意味着存在他杀。晚安！,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
65,就是自杀吧，哪有这么牛逼的凶手啊,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
66,事情真相只有一个，如果我要推理错误。我直播吃一瓶辣椒酱。目前来看这就是自己想不开，至于什么原因想不开。目前不好判断，需要找到手机调出所有社交账号聊天记录。那么之前100多天没发现，可能是人手不足没有找那么仔细，后来所谓的地毯式搜索，也可能是一种夸张的说法。所以大家一直纠结的点，就在于几千人那么多天，多次地毯式搜索没找到。现在突然找到了，大家表示很奇怪。没什么好奇怪的，就是之前找的没有那么认真仔细。,警方通告胡鑫宇为自杀,POSITIVE,NEITHER
67,如果这真的是他杀，那真是牛逼可以拍成电视剧了,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
68,我觉得应该是自杀吧！,警方通告胡鑫宇为自杀,POSITIVE,AGAINST
69,"个人认为是他遇到什么不好/不顺心的事了，甚至也有可能是知道了什么不好的东西被威胁，承受不住压力准备离开不见人。然后大家在找他。没找到他。
过了几天等大家不找后上吊自杀了。也有可能是在学校自杀了，但是学校怕栽赃，就把他自杀后的尸体吊外面了。今天才发现。死亡时间是大家搜查后的几天，死亡时间已有一两月。说是他杀的朋友，请问杀人动机是什么？警察或政府又为什么要帮凶手隐瞒？学校为什么要害一个15岁的孩子？没有道理嘛！是不是？",警方通告胡鑫宇为自杀,POSITIVE,AGAINST
70,"2月2日，江西省、市、县联合工作专班在上饶市铅山县召开新闻发布会，通报胡某宇事件调查情况。胡鑫宇系自缢死亡，尸体发现地系原始第一现场。胡鑫宇尸检情况：根据尸体腐败程度，结合当地环境及气候条件，胡鑫宇尸体符合长期暴露在室外的特征。胡鑫宇心理刻画情况：2022年9月到致远中学就读后，因学习成绩不佳造成心理落差，加之人际关系、青春期冲动带来的压力，造成了胡某宇失踪前心理状态失衡，表现为入睡困难、早醒、醒后难以再入睡等睡眠问题，存在注意力难以集中、记忆困难等认知功能障碍，存在内疚自责、痛苦、无力无助无望感、无意义感等情绪问题，进食出现异常，有明确的厌世表现和轻生倾向。胡鑫宇录音笔中录音内容不存在人为合成、篡改情况。2022年10月14日17时40分、23时08分胡某宇录制的两段音频清晰表达了自杀意愿。

⑤：发现尸体的粮库门口有门卫24小时值守并养有护院犬，未经许可禁止进入，警方先后于2022年10月20日、21日，11月26日、27日开展四次搜寻。但胡某宇尸体缢吊地点位于院内约9300平方米树林区域内，未搜寻到位。胡鑫宇生前异常表现：入睡困难、早醒、醒后难以再入睡等睡眠问题；注意力难以集中、记忆困难等认知功能障碍；进食出现异常，食欲减退，饭量减少；存在内疚自责、痛苦、无力无助无望感、无意义感等情绪问题。胡鑫宇事件发生后，网传胡鑫宇系“熊猫血”“尸体双脚平行地面”“发现地不是第一现场，尸体是后挂到树林中”均系谣言。警方回应鞋带能否承载胡鑫宇缢吊重量：胡某宇自缢使用的鞋带系涤纶材质，单根长147厘米，宽0.8厘米。经侦查试验，同款鞋带在缓慢拉伸状态下最大承重量85公斤。",警方通告胡鑫宇为自杀,POSITIVE,NEITHER
71,搜索过，不会没发现挂在树上的遗体，已死很久，那么按逻辑推断，发现遗体的不是第一现场。谁移动了遗体？自杀？他杀？逻辑推断一定是有用的，有人说逻辑推断没用，要当事人自己说行为意图。这种人不是用心不良就是天生弱智。 ,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
72,一些匪夷所思的自杀经常会引起争议，比如轰动一时的“阜阳女子身中7刀被认定自杀”一案，在死者家属第二次提出复议后，山东省潍坊公安局出具的鉴定结论仍为自杀。在实际工作中，判断疑似自杀的他杀案件的性质具有一定难度，为防止死亡原因是在他人胁迫或诱骗下发生，防止他杀被伪装成溺死、自缢或高坠等状况，一般不能以死者具有自杀的可能性就定性为自杀，只有经现场勘验、尸体检验及背景调查等方面排除他杀后才能认定为自杀。,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
73,胡鑫宇自杀一案的结论如何让人信服？仿法香港的做法，成立死因裁判庭，也许是一个好办法。,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
74,真的，如果不是你们突然口径一致，疯狂请水军控评洗地。一个劲的往自杀上引导群众，我真的会有些怀疑他是自杀。你们这样疯狂带节奏，洗地究竟在怕什么呢？想隐瞒什么呢？是不是特别急着想把这件事情盖棺定论然后不再讨论呢？我告诉你们，舆论引导，水军控评这样低劣肮脏的手段终究上不得台面。你们也终会迎来历史的清算。相信我，也许这一天不会很远。,警方通告胡鑫宇为自杀,AGAINST,NEITHER
75,为什么说他杀 因为他杀的话所有疑点都能解开 硬说自杀好多事情解释不通,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
76, 有一个网络小V名字叫什么狗屁 飞象网项立刚 的，言之凿凿的说胡鑫宇是自杀，好像胡鑫宇给他托梦了似的。这种谣棍就应该严惩。,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
77,直觉不是简单的自杀 不好说 等个调查结果先,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
78,胡鑫宇那个事儿太假了，但凡脑子正常的都特么的不会觉得这个事儿是自杀，真特么的,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
79,"我分享了话题 结论一，胡非自杀。录音笔的存在代表不存在遗言，遗言应当放在宿舍等众人容易发现的地方，除去粮仓多次搜索而尸体才被发现的重大疑点外，10元钱也证明了胡并非有自杀倾向，要死的人带钱做什么？这么小的金额很可能是要去往某处包括回家或者远处散心。而储粮仓库作为粮食安全战略重地，并不是什么人可以自由进出，所以胡也不可能清楚内部结构而提前做好所谓自缢准备。结合10元、录音笔、粮仓、尸体转移等多因素，至此胡自杀可能性基本消除。他杀可能性接近100%。退一万步说即使录音笔有遗言，也要做好犯罪分子强迫录制甚至技术作假的可能。 结论二：作案过程
推测胡鑫宇是被犯罪集团绑架控制，始终处于学校或者储粮仓库某隐秘处，当地各路视频未能发现踪迹情况下，犯罪分子若已经转移胡鑫宇则可以在转移后的地点轻松处理，不会冒被发现风险再度回到案发地附近，故胡鑫宇始终就在学校不远处。而这个隐秘地点警犬未发现的或者发现后未上报的原因就在于存在一种力量在阻碍胡的发现，说明如果胡被发现背后的嫌疑人非常容易被挖掘出，综合地点就在附近和遗体发现过程的蹊跷，那么凶手是谁，相关力量如何配合作案，已经不难推断。结论三 高启强不可怕，可怕的是。。。",警方通告胡鑫宇为自杀,AGAINST,POSITIVE
80,他杀的可能性大于自杀,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
81,看到抖音上有个评论：小时候偷玩妈妈手机，等她找手机时，会偷偷放在明显的、容易发现的地方,警方通告胡鑫宇为自杀,AGAINST,NEITHER
82,我在想他自己自缢的话脚底下需要垫东西啊，我看警方也没有说脚底下有没有东西，比如石头啊什么的。这树的话还是有点高吧？如果脚底下没有东西不就是别人挂上去的吗？有的话就是自杀了。,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
83,自杀的话是要有蹬的东西才能完成 再说三个月吊在那里，风吹日晒 早就白骨了 报道说 不是原来面貌 就是说不是面目全非 不是面目全非说明死亡时间不久 那这三个多月 人在哪 地毯式搜索都没有找到 警犬土狗都出动 何况偏偏年后这个时候被发现 又是开学期,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
84,自杀可能性极低，被害可能性更大，失踪106天，100米位置，上万人搜索，救生犬，这么高频次的地毯式搜索，怎么可能发现不了，人不可能吊那么久 是有人制造作案现场，还是有人搜救时故意绕开那块区域。整个案件，扑朔迷离，更离谱。希望真相大白，还家属公道,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
85,自杀在无人的教室里、宿舍里、屋顶、天台、阳台上、夜深人静的操场上都可以啊，为什么非要跑到学校以外的后山上呢？,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
86,查一下进出金鸡山的监控 排出破案人员 注意带着大包的,警方通告胡鑫宇为自杀,AGAINST,NEITHER
87,想起之前看过的一部剧 跟这个很像 第一案发现场是在别的屋子 然后遗移尸到树林里伪装成自缢现场 根据尸体的死亡情况和衣着（忘记是没穿好还是穿反了）现场掉落了不属于死者的物品（也忘记是啥了）找到了凶手 就是死活想不起剧名,警方通告胡鑫宇为自杀,AGAINST,NEITHER
88,胡鑫宇的两位亲属表示，他们想上山看看发现胡鑫宇的地方到底是在哪里。然而，在前往学校后山的三叉路口，他们遭到了不明身份人员阻拦，阻止他们上山。(问：阻拦他们的是什么人？为什么要阻拦？此地无银三百两？？),警方通告胡鑫宇为自杀,AGAINST,POSITIVE
89,很多细节咱也不知道啊，还是等真相大白吧。个人倾向于他杀，自杀有点不符合逻辑,警方通告胡鑫宇为自杀,AGAINST,NEITHER
90,当地居民提供的线索是：胡鑫宇被发现时“衣服烂了，人体组织有腐化”，殡仪馆的官方人士也表示遗体已经不是原来的样貌了。再加上，尸体被发现的地点距离胡鑫宇就读的“致远中学”直线距离不足百米，以及胡鑫宇的一位家属表示搜救人员曾多次筛查这里，他们家属也去搜过，但全都没发现小胡的踪迹。其实，能够推断出一个基本的结论，那就是，胡鑫宇是遭遇他杀一段时间之后，又被挂在了尸体发现地伪装成“自缢身亡”的。当然啦，真正最终确认还需要更多的佐证，比如，从胡鑫宇穿的衣服上提取“土壤样本”，与尸体发现地的土壤样本进行对比，就能知道，胡鑫宇的尸体是不是被移动过。,警方通告胡鑫宇为自杀,AGAINST,NEITHER
91,感觉不是事实,警方通告胡鑫宇为自杀,AGAINST,NEITHER
92,这简直就是放q屁了，要求录音内容公开。,警方通告胡鑫宇为自杀,AGAINST,NEITHER
93,胡同学是一个处于花季的孩子，我看他，正如普天下之父母视其娇儿娇女。没看全，但感觉，似乎仅凭他说过一些话、或者这样想过，并不能得出“胡同学是自杀”这样的结论。相比之下，还原整个事件的详细过程，显得更有说服力。不管怎样，愿这个可怜的孩子一路走好~,警方通告胡鑫宇为自杀,AGAINST,POSITIVE
94,我很认同这种观点，胡鑫宇失踪后，舆论都偏向于阴谋论，确实忽略了很多有价值的信息点。既然当初到达了粮仓，为啥不进去寻找？有时候，生死只在某些人的一念之间。围观者预设立场，把目标定性为他杀，人为地失去了寻找胡鑫宇的最佳机会，是多么的可惜！现在要证明胡鑫宇自杀，除了录音笔外，还有一个佐证的思路：查清胡鑫宇的吃住地，如果他不是离校后第一时间自杀，那么，他很可能吃住在粮仓内，也可能在粮仓内或者附近留下自行吃住的痕迹，包括残留食物、大小便痕迹等。,警方通告胡鑫宇为自杀,NEITHER,POSITIVE
95,怎么说都可以！,警方通告胡鑫宇为自杀,NEITHER,AGAINST
96,胡鑫宇同学的尸体被找到，这就是一个极其重大突破。有些案件，尸体、现场是会说话的，现在“缢吊”在那里的已经不仅仅是胡鑫宇同学的尸体，而是中国法律！是中国良心！我们相信警方一定能够公正处理胡案。希望真相早日大白于天下，以准确详情化解公共疑云。 ,警方通告胡鑫宇为自杀,NEITHER,POSITIVE
97,无论网友信不信，有多少人信，都只有一个结果，法医判 什么大v、小道消息说的都没有用，只有尸体不会说谎，法医的结果就是最后的结果,警方通告胡鑫宇为自杀,NEITHER,POSITIVE
98,事件开始家属就说了胡有跟他们说不开心之类。但是那时候大家都把这个点作为在学校受胁迫的依据，而不是往他厌学方面想。,警方通告胡鑫宇为自杀,NEITHER,AGAINST
99,央煤说他是自杀，就算他是他杀能被说成自杀。中国司法是指鹿为马的地方，参考江歌生命权案就知道了。法院的判决是由央煤下的。,警方通告胡鑫宇为自杀,NEITHER,POSITIVE
100,想到白夜追凶里，死者被凶手挂在树上伪造自杀，主角发现自杀会有挣扎，所以树上会有与绳子摩擦的不规则痕迹，以此来确定死者是死后被挂在上面的。,警方通告胡鑫宇为自杀,NEITHER,AGAINST
